Time,LC_Z,LC_Y,LC_X,LT_Z,LT_Y,LT_X,RT_Z,RT_Y,RT_X,C_Z,C_Y,C_X,RC_Z,RC_Y,RC_X,S_Z,S_Y,S_X,class
,100,80,60,107,102,111,62,89,74,88,87,99,83,81,72,53,88,63,10
,67,65,68,85,92,108,83,88,66,80,90,101,48,78,72,97,86,67,10
,38,73,83,60,89,92,98,83,68,62,91,99,54,77,71,103,85,69,10
,69,84,76,78,92,96,79,88,69,67,91,99,81,80,70,90,86,68,10
,101,83,76,108,95,100,58,84,70,91,91,97,88,78,70,52,83,70,10
,79,64,95,88,96,94,69,87,70,88,90,97,68,77,69,60,86,66,10
,40,76,78,58,96,102,102,88,67,66,92,99,53,78,70,104,86,70,10
,60,78,84,76,92,92,86,82,68,66,90,99,73,77,69,96,86,68,10
,92,70,80,96,89,97,65,88,67,72,91,99,97,79,70,68,87,67,10
,96,70,68,102,88,103,59,88,67,89,90,99,83,77,70,54,86,68,10
,65,80,59,79,97,108,81,88,68,82,91,98,49,80,70,73,84,69,10
,45,77,68,58,81,104,99,87,62,63,92,106,60,71,59,101,86,68,10
