@relation EXAMPLE1

@attribute M_LC_Z numeric
@attribute M_LC_Y numeric
@attribute M_LC_X numeric
@attribute M_LT_Z numeric
@attribute M_LT_Y numeric
@attribute M_LT_X numeric
@attribute M_RT_Z numeric
@attribute M_RT_Y numeric
@attribute M_RT_X numeric
@attribute M_C_Z numeric
@attribute M_C_Y numeric
@attribute M_C_X numeric
@attribute M_RC_Z numeric
@attribute M_RC_Y numeric
@attribute M_RC_X numeric
@attribute M_S_Z numeric
@attribute M_S_Y numeric
@attribute M_S_X numeric
@attribute SD_LC_Z numeric
@attribute SD_LC_Y numeric
@attribute SD_LC_X numeric
@attribute SD_LT_Z numeric
@attribute SD_LT_Y numeric
@attribute SD_LT_X numeric
@attribute SD_RT_Z numeric
@attribute SD_RT_Y numeric
@attribute SD_RT_X numeric
@attribute SD_C_Z numeric
@attribute SD_C_Y numeric
@attribute SD_C_X numeric
@attribute SD_RC_Z numeric
@attribute SD_RC_Y numeric
@attribute SD_RC_X numeric
@attribute SD_S_Z numeric
@attribute SD_S_Y numeric
@attribute SD_S_X numeric
@attribute PERSON {P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13}
@attribute LABLE {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17}

@data
82.790625,89.784375,74.640625,99.515625,115.796875,96.15625,126.453125,178.6875,172.325,63.3,77.34375,82.996875,80.4125,89.078125,74.878125,88.55,102.08125,75.9625,16.369653,0.810328,0.606403,9.505249,0.778213,0.581452,3.863813,3.752811,4.845165,4.494858,1.18082,0.055814,22.123203,0.94049,0.862857,27.158171,0.612085,0.452597,P3,15
98.875969,114.677003,91.671835,101.547804,119.633075,95.78553,125.416021,176.387597,170.364341,68.614987,74.723514,68.390181,92.405685,112.524548,93.744186,97.852713,115.418605,93.74677,17.669961,1.560681,1.283289,15.769649,1.555101,1.079763,14.117632,3.58934,4.803538,6.099865,20.604521,8.049601,14.903246,2.802047,2.408895,17.108908,1.655143,1.383909,P3,16
69.245763,88.788136,77.200565,89.957627,117.375706,100.838983,83.20339,108.364407,86.655367,56.861582,70.536723,82.872881,68.19774,87.884181,77.855932,72.214689,92.734463,76.180791,2.09763,3.432608,4.838861,2.336377,3.484036,4.451186,1.988211,3.067964,4.564031,5.129459,9.688368,4.603879,2.106057,2.925753,4.165249,2.141653,2.853801,2.991716,P3,17
62.324397,80.898123,66.782842,66.407507,87.514745,99.903485,65.731903,88.453083,69.209115,56.975871,73.530831,78.426273,60.380697,78.83378,67.176944,65.753351,86.758713,67.394102,3.649433,7.28915,8.44814,4.28729,7.227659,6.420169,5.466738,10.802446,10.359709,1.583073,1.210871,3.150055,4.701246,8.501332,10.746946,1.954789,3.376422,3.713271,P4,1
59.142857,76.114796,68.209184,66.910714,88.135204,100.239796,65.096939,87.637755,68.653061,55.765306,71.596939,79.471939,56.127551,73.012755,70.285714,64.262755,84.841837,67.313776,6.375975,11.350384,13.095494,7.53019,13.559754,14.651344,7.888301,16.524453,20.101453,2.963385,4.223451,10.888312,7.10519,11.760681,13.490738,2.576353,4.721908,14.179463,P4,2
56.551802,72.382883,67.529279,66.191441,87.202703,101.689189,65.385135,87.391892,67.141892,55.524775,70.97973,79.855856,54.977477,70.905405,69.114865,64.031532,84.554054,67.274775,9.610173,16.873196,16.75678,9.410164,17.714055,18.388029,10.039689,17.885258,19.606493,3.397378,4.715514,13.094148,10.151973,17.752048,15.927563,2.945281,5.514457,17.088171,P4,2
63.338068,82.1875,67.275568,64.588068,84.681818,98.951705,63.769886,84.965909,68.397727,54.227273,71.1875,79.039773,61.392045,79.71875,68.630682,62.849432,82.40625,67.306818,1.498835,2.581416,0.666295,1.888414,3.04715,0.742728,2.573003,3.937578,0.920595,1.60062,2.262356,0.343127,1.381593,1.811545,1.140659,1.819262,2.812768,0.658993,P4,4
65.478846,85.503846,67.188462,65,85.007692,98.967308,63.923077,84.886538,68.230769,46.869231,59.676923,75.45,64.032692,83.632692,68.740385,61.065385,79.784615,69.334615,2.603905,4.324793,0.725273,2.690439,4.462228,2.676265,2.905209,4.470481,2.008782,8.472706,12.201176,2.278959,2.161038,3.268981,1.243407,2.923965,4.832159,1.661659,P4,5
62.084746,80.946731,67.675545,69.198547,90.440678,99.336562,69.101695,91.726392,69.898305,43.532688,54.815981,73.900726,63.883777,82.941889,68.530266,54.401937,70.525424,79.181598,1.8438,3.380914,1.042119,1.87614,3.114364,1.369168,1.577481,2.439626,1.240683,2.652062,4.204234,1.641568,1.235493,1.507532,1.42519,1.977647,3.131881,2.26425,P4,6
65.071082,85.300485,66.980614,65.397415,85.47496,99.366721,65.012924,86.256866,68.268174,55.36349,72.025848,75.919225,62.038772,80.623586,68.649435,63.03231,82.867528,69.127625,2.230234,4.316649,0.349861,1.358415,1.793167,0.823479,1.665916,2.273027,0.774683,3.127143,2.703909,1.722211,1.475196,1.790883,1.239448,1.453287,2.029324,1.064114,P4,7
